strategy,pair,func,dim,n,improve_pct,wilcoxon_p,significant_005,significant_001,cohens_d,effect_size
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,200,10,1.5267,0.003906,1,1,1.3333,large
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,50,20,1.453,4.8e-05,1,1,0.7589,medium
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,500,5,1.3401,0.0625,0,0,0.6868,medium
best1bin,SMCO_vs_SMCO_EVO,Ackley,100,15,2.8156,6.1e-05,1,1,16.0158,large
best1bin,SMCO_vs_SMCO_EVO,Ackley,1000,5,3.4773,0.0625,0,0,71.6867,large
best1bin,SMCO_vs_SMCO_EVO,Ackley,200,10,3.2326,0.001953,1,1,30.0071,large
best1bin,SMCO_vs_SMCO_EVO,Ackley,2000,3,3.2333,0.25,0,0,93.2493,large
best1bin,SMCO_vs_SMCO_EVO,Ackley,3000,2,2.5435,NaN,0,0,40.8042,large
best1bin,SMCO_vs_SMCO_EVO,Ackley,4000,2,1.9581,NaN,0,0,34.1083,large
best1bin,SMCO_vs_SMCO_EVO,Ackley,50,20,2.4292,2e-06,1,1,16.3057,large
best1bin,SMCO_vs_SMCO_EVO,Ackley,500,5,3.41,0.0625,0,0,59.2954,large
best1bin,SMCO_vs_SMCO_EVO,Ackley,5000,2,1.8534,NaN,0,0,34.4016,large
best1bin,SMCO_vs_SMCO_EVO,Griewank,100,15,0.0112,0.488708,0,0,0.1369,small
best1bin,SMCO_vs_SMCO_EVO,Griewank,200,10,-0.0137,0.492188,0,0,-0.1777,small
best1bin,SMCO_vs_SMCO_EVO,Griewank,50,20,-0.0079,0.621513,0,0,-0.0597,small
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,100,15,-0.2127,0.276855,0,0,-0.1608,small
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,1000,5,-0.0015,1.0,0,0,-0.003,small
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,200,10,-0.0007,0.695312,0,0,-0.0007,small
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,2000,3,0.0034,0.75,0,0,0.0089,small
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,3000,2,0.0081,NaN,0,0,0.3264,small
