evo_algo,func,dim,strategy,fopt_mean,rank_among_strategies
SMCO_BR_EVO,Rosenbrock,2000,rand1bin,681642200.328956,2
SMCO_BR_EVO,Rosenbrock,2000,current-to-best1bin,667858608.950692,3
SMCO_BR_EVO,Rosenbrock,2000,sobol,618377998.3766528,4
SMCO_BR_EVO,Rosenbrock,3000,rand1bin,984001031.0391653,1
SMCO_BR_EVO,Rosenbrock,3000,best1bin,955288955.6197196,2
SMCO_BR_EVO,Rosenbrock,3000,current-to-best1bin,928660317.1534901,3
SMCO_BR_EVO,Rosenbrock,3000,sobol,860040440.1750121,4
SMCO_BR_EVO,Rosenbrock,4000,rand1bin,1284332464.5678978,1
SMCO_BR_EVO,Rosenbrock,4000,best1bin,1273971153.476194,2
SMCO_BR_EVO,Rosenbrock,4000,current-to-best1bin,1239822826.0694354,3
SMCO_BR_EVO,Rosenbrock,4000,sobol,1091360785.0485091,4
SMCO_BR_EVO,Rosenbrock,5000,rand1bin,1571387343.601668,1
SMCO_BR_EVO,Rosenbrock,5000,best1bin,1530155403.464967,2
SMCO_BR_EVO,Rosenbrock,5000,current-to-best1bin,1529914988.3765254,3
SMCO_BR_EVO,Rosenbrock,5000,sobol,1318443378.4286544,4
SMCO_BR_EVO,Griewank,50,sobol,4161.41926806,1
SMCO_BR_EVO,Griewank,50,best1bin,4160.60751926,2
SMCO_BR_EVO,Griewank,50,rand1bin,4160.22636653,3
SMCO_BR_EVO,Griewank,50,current-to-best1bin,4160.10517731,4
SMCO_BR_EVO,Griewank,100,best1bin,8155.94859181,1
SMCO_BR_EVO,Griewank,100,sobol,8151.74184993,2
SMCO_BR_EVO,Griewank,100,current-to-best1bin,8149.53898907,3
SMCO_BR_EVO,Griewank,100,rand1bin,8149.34328134,4
SMCO_BR_EVO,Griewank,200,best1bin,15606.13133528,1
SMCO_BR_EVO,Griewank,200,sobol,15580.61859943,2
SMCO_BR_EVO,Griewank,200,rand1bin,15579.65369232,3
SMCO_BR_EVO,Griewank,200,current-to-best1bin,15579.36184013,4
SMCO_BR_EVO,Zakharov,50,best1bin,1326654041450707.0,1
SMCO_BR_EVO,Zakharov,50,current-to-best1bin,1321579327789853.5,2
SMCO_BR_EVO,Zakharov,50,rand1bin,1321042363222150.5,3
