strategy,pair,func,dim,improve_pct,time_overhead_pct,cost_benefit
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,50,0.504,2.36,0.214
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,100,0.6823,6.28,0.1086
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,200,0.978,-0.01,inf
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,500,0.9745,-2.79,inf
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,1000,0.9967,-0.45,inf
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,2000,1.0597,-0.11,inf
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,3000,1.0912,0.98,1.1078
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,4000,1.0537,3.01,0.3498
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,5000,1.0927,5.25,0.2081
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,50,-0.0089,-0.22,inf
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,100,0.0835,-1.79,inf
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,200,1.6206,3.93,0.4119
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,500,2.0513,-2.58,inf
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,1000,3.7683,-2.23,inf
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,2000,8.0405,-0.25,inf
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,3000,8.0183,-6.68,inf
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,4000,13.578,-11.82,inf
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,5000,16.0541,1.92,8.3405
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Griewank,50,-0.0376,1.48,-0.0254
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Griewank,100,0.0368,-3.23,inf
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Griewank,200,-0.0222,1.49,-0.0149
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,50,1.453,3.57,0.4065
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,100,1.1852,0.09,13.8521
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,200,1.5267,-2.23,inf
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,500,1.3401,-3.53,inf
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,50,0.1117,-0.54,inf
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,100,-0.2127,-2.88,inf
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,200,-0.0007,0.28,-0.0026
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,500,-0.0011,7.37,-0.0002
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,1000,-0.0015,-1.01,inf
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,2000,0.0034,1.48,0.0023
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,3000,0.0081,2.0,0.0041
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,4000,0.0039,2.24,0.0017
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,5000,-0.0183,0.76,-0.0241
best1bin,SMCO_vs_SMCO_EVO,Ackley,50,2.4292,1.1,2.2
best1bin,SMCO_vs_SMCO_EVO,Ackley,100,2.8156,1.81,1.5537
best1bin,SMCO_vs_SMCO_EVO,Ackley,200,3.2326,0.0,inf
best1bin,SMCO_vs_SMCO_EVO,Ackley,500,3.41,4.37,0.7795
best1bin,SMCO_vs_SMCO_EVO,Ackley,1000,3.4773,-3.45,inf
best1bin,SMCO_vs_SMCO_EVO,Ackley,2000,3.2333,-4.31,inf
best1bin,SMCO_vs_SMCO_EVO,Ackley,3000,2.5435,3.2,0.794
best1bin,SMCO_vs_SMCO_EVO,Ackley,4000,1.9581,1.52,1.2871
best1bin,SMCO_vs_SMCO_EVO,Ackley,5000,1.8534,13.89,0.1334
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,50,0.6898,11.39,0.0605
