task_id,algo,func,dim,rep,fopt,time,iterations,pair
216,SMCO_R,Zakharov,500,6,1.0969946437230518e+23,161.24516780499835,173,SMCO_R_vs_SMCO_R_EVO
219,SMCO_EVO,Zakharov,500,6,1.253659224770069e+23,156.88394738198258,323,SMCO_vs_SMCO_EVO
208,SMCO_BR,Zakharov,500,4,7.832367595823696e+22,175.96288563299458,98,SMCO_BR_vs_SMCO_BR_EVO
210,SMCO_R,Zakharov,500,5,1.1004751628412586e+23,175.07639308890793,173,SMCO_R_vs_SMCO_R_EVO
226,SMCO_BR,Zakharov,500,7,7.737127255448885e+22,142.86480702098925,98,SMCO_BR_vs_SMCO_BR_EVO
224,SMCO,Zakharov,500,7,1.2430455707727002e+23,147.38042050006334,323,SMCO_vs_SMCO_EVO
213,SMCO_EVO,Zakharov,500,5,1.2556096400472624e+23,174.0293238220038,323,SMCO_vs_SMCO_EVO
212,SMCO,Zakharov,500,5,1.2556560799417495e+23,177.84065330505837,323,SMCO_vs_SMCO_EVO
222,SMCO_R,Zakharov,500,7,1.0823430690534808e+23,153.37627447594423,173,SMCO_R_vs_SMCO_R_EVO
225,SMCO_EVO,Zakharov,500,7,1.2430111515764028e+23,152.55934578296728,323,SMCO_vs_SMCO_EVO
221,SMCO_BR_EVO,Zakharov,500,6,7.939898731957909e+22,156.46988812391646,173,SMCO_BR_vs_SMCO_BR_EVO
211,SMCO_R_EVO,Zakharov,500,5,1.1008358376990033e+23,180.78897126798984,323,SMCO_R_vs_SMCO_R_EVO
228,SMCO_R,Zakharov,500,8,1.0994861357376685e+23,147.04529653000645,173,SMCO_R_vs_SMCO_R_EVO
215,SMCO_BR_EVO,Zakharov,500,5,7.999433826239836e+22,180.7513504459057,173,SMCO_BR_vs_SMCO_BR_EVO
223,SMCO_R_EVO,Zakharov,500,7,1.0821681859235774e+23,160.6666070499923,323,SMCO_R_vs_SMCO_R_EVO
227,SMCO_BR_EVO,Zakharov,500,7,7.794776532341847e+22,162.1223271440249,173,SMCO_BR_vs_SMCO_BR_EVO
