strategy,dim,algo,mean_fopt,mean_time,fopt_per_second,is_evo
current-to-best1bin,200,SMCO_BR_EVO,1.3123745260083354e+19,52.48605030504055,2.500425386137886e+17,True
current-to-best1bin,200,SMCO_EVO,1.7841526624691274e+19,53.56358323979657,3.330906101785104e+17,True
current-to-best1bin,200,SMCO_R,1.6252816173831619e+19,51.75998842560686,3.1400347388391174e+17,False
current-to-best1bin,200,SMCO_R_EVO,1.6364901177873568e+19,51.05121762169525,3.20558488910928e+17,True
current-to-best1bin,200,SPSA,1.1236939043194172e+18,0.5557333921035752,2.022001773307133e+18,False
current-to-best1bin,200,SignGD,2.040301001454061e+19,15.26409444733057,1.336666913647717e+18,False
current-to-best1bin,200,optimLBFGS,2.04030100145428e+19,3.0424061367148534,6.706208539460046e+18,False
current-to-best1bin,200,optimNM,1.6311347220064938e+17,1.3670267403312026,1.1931988408736637e+17,False
current-to-best1bin,500,DEoptim,3.2359238817458196e+21,695.1718510131934,4.654854590313966e+18,False
current-to-best1bin,500,GA,1.5859667390160062e+22,1.6823584423400462,9.427044196420082e+21,False
current-to-best1bin,500,GenSA,3.845306518625537e+22,58.2089535433217,6.606039594516484e+20,False
current-to-best1bin,500,PSO,3.132891915331206e+21,0.6771048933500424,4.626893035480689e+21,False
current-to-best1bin,500,SA,3.845306518625534e+22,113.42830035254592,3.39007682092913e+20,False
current-to-best1bin,500,SMCO,3.13256432271709e+22,238.82939839765896,1.3116326313820317e+20,False
current-to-best1bin,500,SMCO_BR,1.9869944763363273e+22,244.51541941324248,8.126254291465414e+19,False
current-to-best1bin,500,SMCO_BR_EVO,2.013622639287847e+22,240.51533453426092,8.372117491747748e+19,True
current-to-best1bin,500,SMCO_EVO,3.14121337122116e+22,238.69695108269806,1.3159838686556439e+20,True
current-to-best1bin,500,SMCO_R,2.7417060218901723e+22,240.9654600997921,1.137800422000206e+20,False
current-to-best1bin,500,SMCO_R_EVO,2.747397612708551e+22,242.78718889458105,1.1316073245946595e+20,True
current-to-best1bin,1000,DEoptim,53652180.107309625,2307.01477462668,23256.10598483991,False
current-to-best1bin,1000,GA,76254044.79270051,2.409621322837969,31645654.887752708,False
current-to-best1bin,1000,GenSA,269867931.47379434,180.95439620572142,1491358.801623089,False
current-to-best1bin,1000,PSO,177605772.03883043,1.052374357248967,168766723.37694854,False
current-to-best1bin,1000,SA,180876561.41765806,319.3813683798071,566334.1050081555,False
current-to-best1bin,1000,SMCO,154472732.06927583,973.2277678829773,158722.0763391226,False
current-to-best1bin,1000,SMCO_BR,116074072.00668,974.8970869762823,119062.89756869886,False
current-to-best1bin,1000,SMCO_BR_EVO,120447724.49881369,975.2806265718614,123500.58149128914,True
current-to-best1bin,1000,SMCO_EVO,154490986.8983609,966.2766741786152,159882.76549228118,True
current-to-best1bin,1000,SMCO_R,140914035.98528636,966.6770417351431,145771.57613296763,False
current-to-best1bin,1000,SMCO_R_EVO,140896303.67943102,971.86926630813,144974.5439678921,True
current-to-best1bin,2000,DEoptim,99640012.4492048,7827.192572582177,12729.980963830272,False
current-to-best1bin,2000,GA,126333393.76704887,3.894125704679431,32442043.053525098,False
current-to-best1bin,2000,GenSA,539908382.5067997,535.9471266043579,1007391.1318967963,False
current-to-best1bin,2000,PSO,346298899.43714595,1.8796925253700465,184231673.4057192,False
current-to-best1bin,2000,SA,360999483.4399754,426.56219003822963,846299.7702811438,False
current-to-best1bin,2000,SMCO,289768505.24653125,3928.254002931424,73765.21605535032,False
current-to-best1bin,2000,SMCO_BR,206071287.66046974,3879.1494266645623,53122.80219059711,False
current-to-best1bin,2000,SMCO_BR_EVO,222638847.55840084,3902.184431537572,57054.926917094686,True
current-to-best1bin,2000,SMCO_EVO,289698398.2547459,3842.5104041418786,75393.0029551715,True
current-to-best1bin,2000,SMCO_R,258626899.8699452,3865.9228394624984,66899.13653473322,False
current-to-best1bin,2000,SMCO_R_EVO,258642971.42996204,3863.4360401214153,66946.35778720792,True
current-to-best1bin,3000,DEoptim,145027975.84859055,16944.914592268993,8558.790606991824,False
current-to-best1bin,3000,GA,186173944.17236257,5.316148675202082,35020454.75906213,False
current-to-best1bin,3000,GenSA,809948833.5919352,1113.4975632508674,727391.6534018102,False
current-to-best1bin,3000,PSO,522609747.02768564,2.4672841472007954,211815792.52661327,False
current-to-best1bin,3000,SA,530270949.977163,630.9493076103196,840433.5238682337,False
current-to-best1bin,3000,SMCO,413269638.83906555,8281.406679602651,49903.314114130015,False
current-to-best1bin,3000,SMCO_BR,286603582.3155094,8373.348084722878,34228.0745307144,False
current-to-best1bin,3000,SMCO_BR_EVO,309582123.6494613,8365.881661013971,37005.319486187786,True
current-to-best1bin,3000,SMCO_EVO,413157069.1352126,8343.863415469494,49516.27903798387,True
current-to-best1bin,3000,SMCO_R,364796401.8732118,8297.927107506199,43962.3531451875,False
current-to-best1bin,3000,SMCO_R_EVO,370213942.0878883,8297.07512794664,44619.81317258589,True
current-to-best1bin,4000,DEoptim,190278912.60028255,28646.019749146304,6642.420631786137,False
current-to-best1bin,4000,GA,227154869.61625004,7.512084583984688,30238593.172996286,False
current-to-best1bin,4000,GenSA,1079989284.5121896,1766.5251799270045,611363.6515256559,False
current-to-best1bin,4000,PSO,693515297.9676373,3.529298476797218,196502308.46924326,False
current-to-best1bin,4000,SA,724814011.8133167,1020.2214603149332,710447.7214090097,False
current-to-best1bin,4000,SMCO,533908381.0375383,15404.369039248131,34659.54234653922,False
current-to-best1bin,4000,SMCO_BR,363906468.4706586,15635.559357371569,23274.28524641113,False
current-to-best1bin,4000,SMCO_BR_EVO,413312389.3585844,16200.844423304894,25511.780655336403,True
current-to-best1bin,4000,SMCO_EVO,533980387.1811741,15880.985614912584,33623.88205173834,True
current-to-best1bin,4000,SMCO_R,466499808.8275792,15578.159138018344,29945.75961732802,False
current-to-best1bin,4000,SMCO_R_EVO,477748880.6914315,15313.958676853605,31196.95506384829,True
current-to-best1bin,5000,DEoptim,234644004.05483338,45010.843408275396,5213.055039348436,False
current-to-best1bin,5000,GA,287988719.55862665,8.792527377877073,32753804.13181728,False
current-to-best1bin,5000,GenSA,1350029735.648033,2816.7042978133154,479294.09441243013,False
current-to-best1bin,5000,PSO,869134807.0638504,4.470804859302007,194402313.32296214,False
current-to-best1bin,5000,SA,907018759.5874871,1321.790639130321,686204.5567097258,False
current-to-best1bin,5000,SMCO,651368132.6230133,26526.57645714861,24555.30338320296,False
current-to-best1bin,5000,SMCO_BR,439473124.63467926,26386.32238864274,16655.338252966932,False
current-to-best1bin,5000,SMCO_BR_EVO,510019156.3393712,27082.700661498664,18831.91645892336,True
current-to-best1bin,5000,SMCO_EVO,651349703.5697936,26794.332928154967,24309.233796425957,True
current-to-best1bin,5000,SMCO_R,566572298.5185766,25909.817516160314,21867.089498611775,False
current-to-best1bin,5000,SMCO_R_EVO,589258801.2883259,26435.309866429074,22290.595580899237,True
rand1bin,50,ADAM,79799118228629.86,4.940841596825049,16150916127306.78,False
rand1bin,50,BOBYQA,230033122706707.88,65.137679207162,3531490920564.074,False
rand1bin,50,DEoptim,220957235678684.2,24.331818817581517,9080999547761.98,False
rand1bin,50,GA,302590611597332.2,0.7457944357278756,405729242672629.7,False
rand1bin,50,GD,330332094182153.75,2.141882428782992,154225129140186.72,False
rand1bin,50,GenSA,330332096205851.94,2.4167439272790214,136684773457884.83,False
rand1bin,50,PSO,170783017791861.6,0.24697414584457875,691501603165116.9,False
rand1bin,50,SA,330332093674855.94,5.687250735159032,58082913706040.234,False
rand1bin,50,SMCO,308892082280307.3,4.354143787345383,70942095017177.05,False
rand1bin,50,SMCO_BR,260530328818583.53,4.762020293581299,54710041695906.02,False
rand1bin,50,SMCO_BR_EVO,264208477894660.16,5.076273843818345,52047719650980.06,True
rand1bin,50,SMCO_EVO,309461086729658.4,4.451476749894209,69518747174634.305,True
rand1bin,50,SMCO_R,294437112923750.06,4.330743967136368,67987651811806.75,False
rand1bin,50,SMCO_R_EVO,295894809495784.2,4.737997266075109,62451452138742.87,True
rand1bin,50,SPSA,74309814438715.81,0.18023639351828025,412290841977921.8,False
rand1bin,50,SignGD,330332093617501.4,1.6458152113785036,200710317497200.34,False
rand1bin,50,optimLBFGS,330332094194753.5,0.7495694173802622,440695800195879.06,False
rand1bin,50,optimNM,6446230565605.022,0.22240923120174558,28983646635411.91,False
rand1bin,100,ADAM,1.7761890650371926e+16,12.186581620515014,1457495727962908.0,False
rand1bin,100,BOBYQA,7.473569017606765e+16,228.19329549998045,327510455608780.4,False
rand1bin,100,DEoptim,3.1289457118955204e+16,60.29510131797443,518938627434192.25,False
rand1bin,100,GA,6.518682481263699e+16,0.8171135004144162,7.977695238124952e+16,False
rand1bin,100,GD,8.129718842036517e+16,6.008154654310395,1.3531141107035352e+16,False
rand1bin,100,GenSA,8.129718842486518e+16,5.594597479669998,1.4531374012212326e+16,False
rand1bin,100,PSO,2.7573079696180624e+16,0.2689751659675191,1.0251161885893323e+17,False
rand1bin,100,SA,8.129718841934358e+16,12.403755862514178,6554239644867136.0,False
rand1bin,100,SMCO,7.453438227347854e+16,12.04220763760619,6189428426787604.0,False
rand1bin,100,SMCO_BR,6.01528074069819e+16,12.395754379661133,4852694363295889.0,False
rand1bin,100,SMCO_BR_EVO,6.0524624112741864e+16,12.07160988924404,5013798877535802.0,True
rand1bin,100,SMCO_EVO,7.461437004116274e+16,12.462335206661374,5987190105533337.0,True
rand1bin,100,SMCO_R,7.014724037735766e+16,12.53156461726874,5597644230369558.0,False
rand1bin,100,SMCO_R_EVO,7.036939778046782e+16,12.189059646787742,5773160507833983.0,True
rand1bin,100,SPSA,8098238960196033.0,0.24776016692941388,3.2685798772904428e+16,False
rand1bin,100,SignGD,8.129718841942275e+16,4.114250982900461,1.9759900102669464e+16,False
rand1bin,100,optimLBFGS,8.129718842037213e+16,1.297456576616193,6.265888961956455e+16,False
rand1bin,100,optimNM,1025485206696362.6,0.36653118446469307,2797811619205199.5,False
rand1bin,200,ADAM,4.152713206686902e+18,45.85835952830966,9.05552062786571e+16,False
rand1bin,200,BOBYQA,1.7061020732392667e+19,518.7668326803437,3.288764750869378e+16,False
rand1bin,200,DEoptim,4.117234118558517e+18,159.5103451027861,2.5811705917289772e+16,False
rand1bin,200,GA,1.342803186052638e+19,0.9928181515540928,1.3525167564177803e+19,False
rand1bin,200,GD,2.0403010014542782e+19,21.55233824602794,9.466726896003046e+17,False
rand1bin,200,GenSA,2.0403010014552367e+19,13.851803355398587,1.4729497301591795e+18,False
