strategy,variant,base_algo,evo_algo,func,dim,improve_pct,win_rate,n
current-to-best1bin,BR,SMCO_BR,SMCO_BR_EVO,Rosenbrock,2000,8.040476087462416,100.0,3
current-to-best1bin,BR,SMCO_BR,SMCO_BR_EVO,Rosenbrock,3000,8.0183365287103,100.0,2
current-to-best1bin,BR,SMCO_BR,SMCO_BR_EVO,Rosenbrock,4000,13.577965216572387,100.0,2
current-to-best1bin,BR,SMCO_BR,SMCO_BR_EVO,Rosenbrock,50,-0.008936185080353683,40.0,20
current-to-best1bin,BR,SMCO_BR,SMCO_BR_EVO,Rosenbrock,500,2.0512977952281073,80.0,5
current-to-best1bin,BR,SMCO_BR,SMCO_BR_EVO,Rosenbrock,5000,16.05414597190671,100.0,2
current-to-best1bin,BR,SMCO_BR,SMCO_BR_EVO,Zakharov,100,1.185229977711909,86.66666666666667,15
current-to-best1bin,BR,SMCO_BR,SMCO_BR_EVO,Zakharov,200,1.5267149644049398,90.0,10
current-to-best1bin,BR,SMCO_BR,SMCO_BR_EVO,Zakharov,50,1.4530139343417656,85.0,20
current-to-best1bin,BR,SMCO_BR,SMCO_BR_EVO,Zakharov,500,1.3401226459681497,100.0,5
rand1bin,BASE,SMCO,SMCO_EVO,Ackley,100,2.844973042764799,100.0,15
rand1bin,BASE,SMCO,SMCO_EVO,Ackley,1000,3.5648542158732393,100.0,5
rand1bin,BASE,SMCO,SMCO_EVO,Ackley,200,3.2760447484319193,100.0,10
rand1bin,BASE,SMCO,SMCO_EVO,Ackley,2000,3.2859737795873087,100.0,3
rand1bin,BASE,SMCO,SMCO_EVO,Ackley,3000,2.5727934117010407,100.0,2
rand1bin,BASE,SMCO,SMCO_EVO,Ackley,4000,2.0311740637375495,100.0,2
rand1bin,BASE,SMCO,SMCO_EVO,Ackley,50,2.42527185565181,100.0,20
rand1bin,BASE,SMCO,SMCO_EVO,Ackley,500,3.4688580475500728,100.0,5
rand1bin,BASE,SMCO,SMCO_EVO,Ackley,5000,1.910094387558365,100.0,2
rand1bin,BASE,SMCO,SMCO_EVO,Griewank,100,0.011695105954771079,60.0,15
rand1bin,BASE,SMCO,SMCO_EVO,Griewank,200,-0.011739384912800544,50.0,10
rand1bin,BASE,SMCO,SMCO_EVO,Griewank,50,-0.005292701921421372,45.0,20
rand1bin,BASE,SMCO,SMCO_EVO,Rastrigin,100,-0.21398760849316156,33.33333333333333,15
rand1bin,BASE,SMCO,SMCO_EVO,Rastrigin,1000,0.0011006072815284572,60.0,5
rand1bin,BASE,SMCO,SMCO_EVO,Rastrigin,200,-0.0012702871257917283,60.0,10
