strategy,algo_a,algo_b,a_wins,b_wins,total,a_win_rate,b_win_rate
rand1bin,ADAM,GD,73,152,225,32.44444444444444,67.55555555555556
rand1bin,ADAM,GenSA,0,225,225,0.0,100.0
rand1bin,ADAM,PSO,40,185,225,17.77777777777778,82.22222222222221
rand1bin,ADAM,SA,8,217,225,3.5555555555555554,96.44444444444444
rand1bin,ADAM,SMCO,45,180,225,20.0,80.0
rand1bin,ADAM,SMCO_BR,26,199,225,11.555555555555555,88.44444444444444
rand1bin,ADAM,SMCO_BR_EVO,9,216,225,4.0,96.0
rand1bin,ADAM,SMCO_EVO,0,225,225,0.0,100.0
rand1bin,ADAM,SMCO_R,15,210,225,6.666666666666667,93.33333333333333
rand1bin,ADAM,SMCO_R_EVO,0,225,225,0.0,100.0
rand1bin,ADAM,SPSA,138,87,225,61.33333333333333,38.666666666666664
rand1bin,ADAM,SignGD,90,135,225,40.0,60.0
rand1bin,ADAM,optimLBFGS,80,145,225,35.55555555555556,64.44444444444444
rand1bin,ADAM,optimNM,205,20,225,91.11111111111111,8.88888888888889
rand1bin,BOBYQA,DEoptim,218,7,225,96.88888888888889,3.111111111111111
rand1bin,BOBYQA,GA,179,46,225,79.55555555555556,20.444444444444446
rand1bin,BOBYQA,GD,89,123,225,39.55555555555556,54.666666666666664
rand1bin,BOBYQA,GenSA,50,162,225,22.22222222222222,72.0
rand1bin,BOBYQA,PSO,106,119,225,47.11111111111111,52.888888888888886
rand1bin,BOBYQA,SA,85,127,225,37.77777777777778,56.44444444444444
rand1bin,BOBYQA,SMCO,146,79,225,64.88888888888889,35.11111111111111
rand1bin,BOBYQA,SMCO_BR,130,95,225,57.77777777777777,42.22222222222222
rand1bin,BOBYQA,SMCO_BR_EVO,126,99,225,56.00000000000001,44.0
rand1bin,BOBYQA,SMCO_EVO,98,127,225,43.55555555555555,56.44444444444444
rand1bin,BOBYQA,SMCO_R,115,110,225,51.11111111111111,48.888888888888886
