strategy,func,dim,algo,mean,std,min,max,median,n,is_evo
current-to-best1bin,Ackley,1000,DEoptim,21.40238059,0.00977965,21.38826093,21.41269241,21.40633999,5,False
current-to-best1bin,Ackley,1000,GA,21.46911005,0.01047325,21.45566972,21.48210463,21.47178885,5,False
current-to-best1bin,Ackley,1000,GenSA,22.13118936,0.09109798,21.96830197,22.17547381,22.17085319,5,False
current-to-best1bin,Ackley,1000,PSO,21.78589313,0.0216697,21.75594338,21.80574237,21.79272061,5,False
current-to-best1bin,Ackley,1000,SA,21.96278046,0.02290152,21.94440547,22.00240267,21.95520556,5,False
current-to-best1bin,Ackley,1000,SMCO,21.35674794,0.01336454,21.3375839,21.37453368,21.35814077,5,False
current-to-best1bin,Ackley,1000,SMCO_BR,21.94129771,0.00968927,21.92969363,21.95394197,21.94297709,5,False
current-to-best1bin,Ackley,1000,SMCO_BR_EVO,22.15998727,0.0115037,22.14507218,22.17309121,22.15680787,5,True
current-to-best1bin,Ackley,1000,SMCO_EVO,22.08734507,0.00668483,22.07754095,22.0941801,22.08604165,5,True
current-to-best1bin,Ackley,1000,SMCO_R,21.94929137,0.00976383,21.9392345,21.96311007,21.94566172,5,False
current-to-best1bin,Ackley,1000,SMCO_R_EVO,22.1611974,0.00839738,22.15088742,22.16999186,22.16017698,5,True
current-to-best1bin,Ackley,2000,DEoptim,21.36305693,0.00278622,21.35990396,21.36518756,21.36407927,3,False
current-to-best1bin,Ackley,2000,GA,21.42397827,0.01420167,21.41429648,21.44028148,21.41735684,3,False
current-to-best1bin,Ackley,2000,GenSA,21.94001171,0.00997303,21.92874206,21.94769777,21.9435953,3,False
current-to-best1bin,Ackley,2000,PSO,21.77345901,0.01220993,21.76163203,21.78601887,21.77272612,3,False
current-to-best1bin,Ackley,2000,SA,21.8924745,0.0081464,21.88755555,21.90187781,21.88799014,3,False
current-to-best1bin,Ackley,2000,SMCO,21.41223117,0.00643105,21.40845332,21.41965673,21.40858345,3,False
current-to-best1bin,Ackley,2000,SMCO_BR,21.92156924,0.00343249,21.91912993,21.92549433,21.92008347,3,False
current-to-best1bin,Ackley,2000,SMCO_BR_EVO,22.15386391,0.0201981,22.14101096,22.1771446,22.14343617,3,True
current-to-best1bin,Ackley,2000,SMCO_EVO,22.08847639,0.0234048,22.07224298,22.11530518,22.07788101,3,True
current-to-best1bin,Ackley,2000,SMCO_R,21.90054567,0.00294097,21.89832647,21.90388141,21.89942913,3,False
current-to-best1bin,Ackley,2000,SMCO_R_EVO,22.1366682,0.00456078,22.13375782,22.14192444,22.13432233,3,True
current-to-best1bin,Ackley,3000,DEoptim,21.34290123,0.00159538,21.34177312,21.34402934,21.34290123,2,False
current-to-best1bin,Ackley,3000,GA,21.40466069,0.01114725,21.39677839,21.41254299,21.40466069,2,False
current-to-best1bin,Ackley,3000,GenSA,21.90540034,0.02071428,21.89075313,21.92004754,21.90540034,2,False
current-to-best1bin,Ackley,3000,PSO,21.74146524,0.01550264,21.73050322,21.75242726,21.74146524,2,False
current-to-best1bin,Ackley,3000,SA,21.86492905,0.01409715,21.85496086,21.87489724,21.86492905,2,False
current-to-best1bin,Ackley,3000,SMCO,21.53221419,0.00356824,21.52969107,21.53473731,21.53221419,2,False
current-to-best1bin,Ackley,3000,SMCO_BR,21.90992625,0.00253492,21.9081338,21.91171871,21.90992625,2,False
current-to-best1bin,Ackley,3000,SMCO_BR_EVO,22.14900609,0.0024278,22.14728938,22.1507228,22.14900609,2,True
current-to-best1bin,Ackley,3000,SMCO_EVO,22.0323172,0.00974027,22.02542979,22.03920461,22.0323172,2,True
current-to-best1bin,Ackley,3000,SMCO_R,21.56366743,0.00415411,21.56073003,21.56660484,21.56366743,2,False
current-to-best1bin,Ackley,3000,SMCO_R_EVO,22.1399903,0.00662381,22.13530655,22.14467404,22.1399903,2,True
current-to-best1bin,Ackley,4000,DEoptim,21.34122139,0.00758382,21.33585881,21.34658396,21.34122139,2,False
current-to-best1bin,Ackley,4000,GA,21.39722857,0.01819583,21.38436218,21.41009497,21.39722857,2,False
current-to-best1bin,Ackley,4000,GenSA,21.86477087,0.00556715,21.8608343,21.86870744,21.86477087,2,False
current-to-best1bin,Ackley,4000,PSO,21.71180501,0.00794571,21.70618654,21.71742347,21.71180501,2,False
current-to-best1bin,Ackley,4000,SA,21.84268349,0.00583576,21.83855698,21.84681,21.84268349,2,False
current-to-best1bin,Ackley,4000,SMCO,21.66499532,0.00260253,21.66315505,21.66683558,21.66499532,2,False
