strategy,func,dim,algo,fopt_mean,smco_rank,best_in_smco
rand1bin,Rosenbrock,5000,SMCO,1953961917.8469484,1,SMCO
rand1bin,Rosenbrock,5000,SMCO_EVO,1953822312.2048445,2,SMCO
rand1bin,Rosenbrock,5000,SMCO_R_EVO,1763579913.2363734,3,SMCO
rand1bin,Rosenbrock,5000,SMCO_R,1699574361.5793364,4,SMCO
rand1bin,Rosenbrock,5000,SMCO_BR_EVO,1571387343.601668,5,SMCO
rand1bin,Rosenbrock,5000,SMCO_BR,1318276891.8457017,6,SMCO
sobol,Ackley,1000,SMCO_R_EVO,21.96176293,1,SMCO_R_EVO
sobol,Ackley,1000,SMCO_R,21.94929137,2,SMCO_R_EVO
sobol,Ackley,1000,SMCO_BR,21.94129771,3,SMCO_R_EVO
sobol,Ackley,1000,SMCO_BR_EVO,21.94027778,4,SMCO_R_EVO
sobol,Ackley,1000,SMCO_EVO,21.89716439,5,SMCO_R_EVO
sobol,Ackley,1000,SMCO,21.35674794,6,SMCO_R_EVO
sobol,Ackley,2000,SMCO_R_EVO,21.94555814,1,SMCO_R_EVO
sobol,Ackley,2000,SMCO_BR_EVO,21.92223404,2,SMCO_R_EVO
sobol,Ackley,2000,SMCO_BR,21.92156924,3,SMCO_R_EVO
sobol,Ackley,2000,SMCO_R,21.90054567,4,SMCO_R_EVO
sobol,Ackley,2000,SMCO_EVO,21.88740663,5,SMCO_R_EVO
sobol,Ackley,2000,SMCO,21.41223117,6,SMCO_R_EVO
sobol,Ackley,3000,SMCO_R_EVO,21.93947284,1,SMCO_R_EVO
sobol,Ackley,3000,SMCO_BR_EVO,21.91459008,2,SMCO_R_EVO
sobol,Ackley,3000,SMCO_BR,21.90992625,3,SMCO_R_EVO
sobol,Ackley,3000,SMCO_EVO,21.87918206,4,SMCO_R_EVO
sobol,Ackley,3000,SMCO_R,21.56366743,5,SMCO_R_EVO
sobol,Ackley,3000,SMCO,21.53221419,6,SMCO_R_EVO
sobol,Ackley,4000,SMCO_BR_EVO,21.92838426,1,SMCO_BR_EVO
sobol,Ackley,4000,SMCO_R_EVO,21.92082485,2,SMCO_BR_EVO
sobol,Ackley,4000,SMCO_BR,21.90941467,3,SMCO_BR_EVO
sobol,Ackley,4000,SMCO_EVO,21.89227611,4,SMCO_BR_EVO
sobol,Ackley,4000,SMCO_R,21.69659647,5,SMCO_BR_EVO
sobol,Ackley,4000,SMCO,21.66499532,6,SMCO_BR_EVO
sobol,Ackley,5000,SMCO_BR_EVO,21.93677007,1,SMCO_BR_EVO
sobol,Ackley,5000,SMCO_R_EVO,21.91723918,2,SMCO_BR_EVO
sobol,Ackley,5000,SMCO_BR,21.91259762,3,SMCO_BR_EVO
sobol,Ackley,5000,SMCO_EVO,21.87962725,4,SMCO_BR_EVO
sobol,Ackley,5000,SMCO_R,21.7257027,5,SMCO_BR_EVO
sobol,Ackley,5000,SMCO,21.69704496,6,SMCO_BR_EVO
sobol,Rastrigin,1000,SMCO_R,29138.03230207,1,SMCO_R
sobol,Rastrigin,1000,SMCO_R_EVO,29137.99021097,2,SMCO_R
sobol,Rastrigin,1000,SMCO_BR_EVO,29126.72181404,3,SMCO_R
sobol,Rastrigin,1000,SMCO_BR,29126.31025437,4,SMCO_R
sobol,Rastrigin,1000,SMCO_EVO,29110.27425132,5,SMCO_R
sobol,Rastrigin,1000,SMCO,29109.96616976,6,SMCO_R
sobol,Rastrigin,2000,SMCO_R_EVO,57943.79006555,1,SMCO_R_EVO
sobol,Rastrigin,2000,SMCO_R,57929.57599256,2,SMCO_R_EVO
sobol,Rastrigin,2000,SMCO_BR_EVO,57912.08818198,3,SMCO_R_EVO
sobol,Rastrigin,2000,SMCO_BR,57911.78566871,4,SMCO_R_EVO
sobol,Rastrigin,2000,SMCO_EVO,57882.64610056,5,SMCO_R_EVO
sobol,Rastrigin,2000,SMCO,57881.3549303,6,SMCO_R_EVO
sobol,Rastrigin,3000,SMCO_R_EVO,86092.23625255,1,SMCO_R_EVO
sobol,Rastrigin,3000,SMCO_R,86068.11548492,2,SMCO_R_EVO
sobol,Rastrigin,3000,SMCO_BR,86027.3630172,3,SMCO_R_EVO
sobol,Rastrigin,3000,SMCO_EVO,86027.19083699,4,SMCO_R_EVO
sobol,Rastrigin,3000,SMCO_BR_EVO,86022.92131762,5,SMCO_R_EVO
sobol,Rastrigin,3000,SMCO,86021.13959544,6,SMCO_R_EVO
