strategy,func,dim,algo,fopt_mean,rank,n_methods
rand1bin,Ackley,3000,SMCO_EVO,22.086193578036344,3,11
rand1bin,Ackley,3000,SMCO_BR,21.90992625267647,4,11
rand1bin,Ackley,3000,GenSA,21.905400336903423,5,11
rand1bin,Ackley,3000,SA,21.864929046117897,6,11
rand1bin,Ackley,3000,PSO,21.74146523673044,7,11
rand1bin,Ackley,3000,SMCO_R,21.563667434577347,8,11
rand1bin,Ackley,3000,SMCO,21.532214189963604,9,11
rand1bin,Ackley,3000,GA,21.404660691573028,10,11
rand1bin,Ackley,3000,DEoptim,21.34290122913012,11,11
rand1bin,Ackley,4000,SMCO_BR_EVO,22.181003810305604,1,11
rand1bin,Ackley,4000,SMCO_R_EVO,22.14593543425402,2,11
rand1bin,Ackley,4000,SMCO_EVO,22.105049083661097,3,11
rand1bin,Ackley,4000,SMCO_BR,21.90941466516003,4,11
rand1bin,Ackley,4000,GenSA,21.864770869740198,5,11
rand1bin,Ackley,4000,SA,21.842683492138292,6,11
rand1bin,Ackley,4000,PSO,21.711805007306616,7,11
rand1bin,Ackley,4000,SMCO_R,21.696596470859426,8,11
rand1bin,Ackley,4000,SMCO,21.664995317854874,9,11
rand1bin,Ackley,4000,GA,21.397228574401577,10,11
rand1bin,Ackley,4000,DEoptim,21.34122138647738,11,11
rand1bin,Ackley,5000,SMCO_BR_EVO,22.184909932388898,1,11
rand1bin,Ackley,5000,SMCO_R_EVO,22.152934041512637,2,11
rand1bin,Ackley,5000,SMCO_EVO,22.11147899382847,3,11
rand1bin,Ackley,5000,SMCO_BR,21.912597619812423,4,11
rand1bin,Ackley,5000,GenSA,21.73148729514309,5,11
rand1bin,Ackley,5000,SMCO_R,21.72570270016472,6,11
rand1bin,Ackley,5000,PSO,21.721434902688344,7,11
rand1bin,Ackley,5000,SMCO,21.697044955860562,8,11
rand1bin,Ackley,5000,SA,21.665474326389205,9,11
rand1bin,Ackley,5000,GA,21.385606465715362,10,11
rand1bin,Ackley,5000,DEoptim,21.328332378863344,11,11
rand1bin,Rastrigin,1000,SA,40353.2901937765,1,11
rand1bin,Rastrigin,1000,GenSA,40353.29019371744,2,11
rand1bin,Rastrigin,1000,PSO,29165.33059818275,3,11
rand1bin,Rastrigin,1000,SMCO_R_EVO,29138.03689959966,4,11
rand1bin,Rastrigin,1000,SMCO_R,29138.032302071668,5,11
rand1bin,Rastrigin,1000,SMCO_BR,29126.310254371823,6,11
rand1bin,Rastrigin,1000,SMCO_BR_EVO,29126.299182316616,7,11
rand1bin,Rastrigin,1000,SMCO_EVO,29110.28655616283,8,11
rand1bin,Rastrigin,1000,SMCO,29109.966169755517,9,11
rand1bin,Rastrigin,1000,GA,21059.0835568463,10,11
rand1bin,Rastrigin,1000,DEoptim,19911.698094201394,11,11
