label,algo,baseline_strategy,strategy,baseline_gap,strategy_gap,gap_improvement_vs_baseline,winner
table3_EmpiricalWelfare_d10,SMCO_R_EVO,rand1bin,best1bin,414.750357801149,435.06053344898646,-20.310175647837468,rand1bin
table3_EmpiricalWelfare_d10,SMCO_R_EVO,rand1bin,sobol,414.750357801149,435.06053344898646,-20.310175647837468,rand1bin
table3_EmpiricalWelfare_d10,SMCO_BR_EVO,rand1bin,current-to-best1bin,449.5259785319315,454.80902309443763,-5.28304456250612,rand1bin
table3_EmpiricalWelfare_d10,SMCO_BR_EVO,rand1bin,best1bin,449.5259785319315,454.80902309443763,-5.28304456250612,rand1bin
table3_EmpiricalWelfare_d10,SMCO_BR_EVO,rand1bin,sobol,449.5259785319315,454.80902309443763,-5.28304456250612,rand1bin
table3_EmpiricalWelfare_d20,SMCO_EVO,rand1bin,current-to-best1bin,327.3496302721451,352.2301138458197,-24.88048357367461,rand1bin
table3_EmpiricalWelfare_d20,SMCO_EVO,rand1bin,best1bin,327.3496302721451,341.543731974411,-14.194101702265925,rand1bin
table3_EmpiricalWelfare_d20,SMCO_EVO,rand1bin,sobol,327.3496302721451,352.2301138458197,-24.88048357367461,rand1bin
table3_EmpiricalWelfare_d20,SMCO_R_EVO,rand1bin,current-to-best1bin,277.05279410170215,278.76920524775005,-1.7164111460479035,rand1bin
table3_EmpiricalWelfare_d20,SMCO_R_EVO,rand1bin,best1bin,277.05279410170215,278.1973934728394,-1.1445993711372466,rand1bin
table3_EmpiricalWelfare_d20,SMCO_R_EVO,rand1bin,sobol,277.05279410170215,278.76920524775005,-1.7164111460479035,rand1bin
table3_EmpiricalWelfare_d20,SMCO_BR_EVO,rand1bin,current-to-best1bin,365.41876179117435,363.2781285915644,2.1406331996099652,current-to-best1bin
table3_EmpiricalWelfare_d20,SMCO_BR_EVO,rand1bin,best1bin,365.41876179117435,358.4561335790954,6.962628212078926,best1bin
table3_EmpiricalWelfare_d20,SMCO_BR_EVO,rand1bin,sobol,365.41876179117435,363.2781285915644,2.1406331996099652,sobol
table3_EmpiricalWelfare_d5,SMCO_EVO,rand1bin,current-to-best1bin,86.2470318768294,86.6362268242433,-0.38919494741389826,rand1bin
table3_EmpiricalWelfare_d5,SMCO_EVO,rand1bin,best1bin,86.2470318768294,86.6362268242433,-0.38919494741389826,rand1bin
table3_EmpiricalWelfare_d5,SMCO_EVO,rand1bin,sobol,86.2470318768294,86.6362268242433,-0.38919494741389826,rand1bin
table3_EmpiricalWelfare_d5,SMCO_R_EVO,rand1bin,current-to-best1bin,87.604817304564,89.54240160468316,-1.9375843001191697,rand1bin
table3_EmpiricalWelfare_d5,SMCO_R_EVO,rand1bin,best1bin,87.604817304564,89.54240160468316,-1.9375843001191697,rand1bin
table3_EmpiricalWelfare_d5,SMCO_R_EVO,rand1bin,sobol,87.604817304564,89.54240160468316,-1.9375843001191697,rand1bin
table3_EmpiricalWelfare_d5,SMCO_BR_EVO,rand1bin,current-to-best1bin,94.06597907405353,94.24204163504191,-0.17606256098838458,rand1bin
table3_EmpiricalWelfare_d5,SMCO_BR_EVO,rand1bin,best1bin,94.06597907405353,94.24204163504191,-0.17606256098838458,rand1bin
table3_EmpiricalWelfare_d5,SMCO_BR_EVO,rand1bin,sobol,94.06597907405353,94.24204163504191,-0.17606256098838458,rand1bin
table3_EmpiricalWelfare_d50,SMCO_EVO,rand1bin,current-to-best1bin,496.95860349127133,549.1329719180303,-52.174368426758974,rand1bin
table3_EmpiricalWelfare_d50,SMCO_EVO,rand1bin,best1bin,496.95860349127133,549.1329719180303,-52.174368426758974,rand1bin
table3_EmpiricalWelfare_d50,SMCO_EVO,rand1bin,sobol,496.95860349127133,548.6598286891458,-51.701225197874464,rand1bin
table3_EmpiricalWelfare_d50,SMCO_R_EVO,rand1bin,current-to-best1bin,406.1959503415369,469.4244226390542,-63.22847229751733,rand1bin
table3_EmpiricalWelfare_d50,SMCO_R_EVO,rand1bin,best1bin,406.1959503415369,469.4244226390542,-63.22847229751733,rand1bin
table3_EmpiricalWelfare_d50,SMCO_R_EVO,rand1bin,sobol,406.1959503415369,453.23071668654393,-47.03476634500703,rand1bin
table3_EmpiricalWelfare_d50,SMCO_BR_EVO,rand1bin,current-to-best1bin,607.5675105713972,674.4158408327003,-66.84833026130309,rand1bin
table3_EmpiricalWelfare_d50,SMCO_BR_EVO,rand1bin,best1bin,607.5675105713972,674.4158408327003,-66.84833026130309,rand1bin
table3_EmpiricalWelfare_d50,SMCO_BR_EVO,rand1bin,sobol,607.5675105713972,672.6222975170763,-65.0547869456791,rand1bin
table3_MaximumScore_d10,SMCO_EVO,rand1bin,current-to-best1bin,0.0406399999999999,0.04056000000000004,7.999999999985796e-05,current-to-best1bin
