strategy,algo,func,dim,rep,fopt,time,iterations,seed,shard
rand1bin,GD,Ackley,200,4,-19.437303122988617,66.93846287950873,7595,1144863697,213
rand1bin,SMCO,Ackley,200,4,-0.3801732207426593,77.27015288732946,315,1144863697,213
rand1bin,PSO,Ackley,200,6,-20.00699567205182,0.6497049145400524,300,675388744,213
rand1bin,GenSA,Ackley,200,5,-1.8469638707330205e-08,29.086165871471167,300,637001453,213
rand1bin,GA,Ackley,200,6,-11.348000314911392,1.66976285725832,300,675388744,213
rand1bin,SA,Ackley,200,2,-19.46760982209493,112.45234448090196,300,844538354,213
rand1bin,SMCO_BR_EVO,Ackley,200,4,-0.0783728617227734,75.18106512539089,165,1144863697,213
rand1bin,SignGD,Ackley,200,6,-19.43660532922252,18.78948258049786,2014,675388744,213
rand1bin,SMCO,Ackley,200,5,-0.3807433418722685,65.74034856073558,315,637001453,213
rand1bin,BOBYQA,Ackley,200,4,-20.33436563781384,76.66566870361567,4500,1144863697,213
rand1bin,SMCO_R,Ackley,200,5,-0.0705201977447598,70.27857707999647,165,637001453,213
rand1bin,SMCO_BR,Ackley,200,5,-0.0764550597002053,68.86402608081698,90,637001453,213
rand1bin,SPSA,Ackley,200,7,-21.02260562528045,0.3783114589750767,3305,290974971,213
rand1bin,ADAM,Ackley,200,4,-19.43730312298637,85.81861026026309,8949,1144863697,213
rand1bin,optimLBFGS,Ackley,200,7,-19.436642373619787,2.2093923073261976,204,290974971,213
rand1bin,optimNM,Ackley,200,7,-21.055893052567388,1.8502156306058168,4500,290974971,213
rand1bin,SMCO_EVO,Ackley,200,5,-0.3848269154456365,75.95238322019577,315,637001453,213
